É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2024/08/26 14:03:34

,,,,åFñ{,åFñ{,åFñ{,åFñ{
îN,åé,ì˙,éû,ãCâ∑(Åé),ìVãC,ç~êÖó (mm),ç~êÖó (mm)
,,,,,,,åªè€Ç»ÇµèÓïÒ
2023,4,1,1,14.0,2,0,1
2023,4,1,2,13.0,2,0,1
2023,4,1,3,12.7,2,0,1
2023,4,1,4,12.2,2,0,1
2023,4,1,5,13.0,2,0,1
2023,4,1,6,12.7,2,0,1
2023,4,1,7,14.1,2,0,1
2023,4,1,8,15.6,2,0,1
2023,4,1,9,18.6,2,0,1
2023,4,1,10,21.2,2,0,1
2023,4,1,11,21.9,2,0,1
2023,4,1,12,24.2,2,0,1
2023,4,1,13,24.8,2,0,1
2023,4,1,14,25.2,2,0,1
2023,4,1,15,25.3,2,0,1
2023,4,1,16,24.6,4,0,1
2023,4,1,17,23.9,4,0,1
2023,4,1,18,22.6,4,0,1
2023,4,1,19,21.1,4,0,1
2023,4,1,20,20.5,4,0,1
2023,4,1,21,19.3,4,0,1
2023,4,1,22,18.3,4,0,1
2023,4,1,23,18.1,4,0,1
2023,4,1,24,17.8,4,0,1
2023,4,2,1,16.8,4,0,1
2023,4,2,2,17.0,4,0,1
2023,4,2,3,15.8,4,0,1
2023,4,2,4,14.8,2,0,1
2023,4,2,5,14.4,2,0,1
2023,4,2,6,15.1,4,0,1
2023,4,2,7,16.7,4,0,1
2023,4,2,8,18.2,4,0,1
2023,4,2,9,19.8,4,0,1
2023,4,2,10,21.1,2,0,1
2023,4,2,11,23.5,2,0,1
2023,4,2,12,24.4,2,0,1
2023,4,2,13,24.5,4,0,1
2023,4,2,14,24.3,2,0,1
2023,4,2,15,24.7,4,0,1
2023,4,2,16,24.4,2,0,1
2023,4,2,17,23.3,2,0,1
2023,4,2,18,21.9,2,0,1
2023,4,2,19,20.6,2,0,1
2023,4,2,20,18.5,2,0,1
2023,4,2,21,17.0,2,0,1
2023,4,2,22,15.9,2,0,1
2023,4,2,23,15.5,2,0,1
2023,4,2,24,14.7,2,0,1
2023,4,3,1,16.0,2,0,1
2023,4,3,2,14.4,2,0,1
2023,4,3,3,14.0,2,0,1
2023,4,3,4,12.6,2,0,1
2023,4,3,5,12.3,2,0,1
2023,4,3,6,11.7,2,0,1
2023,4,3,7,13.1,2,0,1
2023,4,3,8,15.0,2,0,1
2023,4,3,9,17.8,2,0,1
2023,4,3,10,19.1,2,0,1
2023,4,3,11,22.0,2,0,1
2023,4,3,12,23.7,2,0,1
2023,4,3,13,24.5,2,0,1
2023,4,3,14,25.2,2,0,1
2023,4,3,15,25.4,2,0,1
2023,4,3,16,24.9,2,0,1
2023,4,3,17,24.2,2,0,1
2023,4,3,18,23.0,2,0,1
2023,4,3,19,21.3,2,0,1
2023,4,3,20,20.0,2,0,1
2023,4,3,21,18.2,2,0,1
2023,4,3,22,16.8,2,0,1
2023,4,3,23,16.6,2,0,1
2023,4,3,24,16.0,2,0,1
2023,4,4,1,14.7,4,0,1
2023,4,4,2,14.6,4,0,1
2023,4,4,3,13.7,4,0,1
2023,4,4,4,13.4,4,0,1
2023,4,4,5,13.0,4,0,1
2023,4,4,6,12.4,4,0,1
2023,4,4,7,12.8,4,0,1
2023,4,4,8,14.8,4,0,1
2023,4,4,9,19.3,2,0,1
2023,4,4,10,20.1,2,0,1
2023,4,4,11,21.4,2,0,1
2023,4,4,12,22.2,4,0,1
2023,4,4,13,22.4,4,0,1
2023,4,4,14,22.0,4,0,1
2023,4,4,15,22.7,4,0,1
2023,4,4,16,23.1,4,0,1
2023,4,4,17,22.7,2,0,1
2023,4,4,18,22.3,4,0,1
